Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
YY1 (human)	192/6042	0.9934463785705911	0.9999942770590278	0	0	0.8139608512251766	0.005351947815759717	ZNF330;GUCY1B3;SPPL2B;C2ORF88;GIMAP2;SNORD116-21;LRRC70;MSI2;CDH9;BACH2;CDC14B;MYLK4;NUDT11;ZNF204P;FAM134B;LAPTM4B;DEPTOR;PLS3;BAALC;SAMD13;CA13;ZNF285;STARD4;MREG;HFM1;BOLA1;ZNF10;MIRLET7I;HCG4;OR2L2;SYTL4;CACNB2;SMO;ARMC4;SPIN2B;RAB38;LOC441204;TMEM126B;ERG;HIST1H2BG;FREM1;PHLDB2;ABCG1;BEX4;ZNF154;BEX2;BEX1;SLC45A3;BHLHB9;ATXN7L3B;NTPCR;PRKCZ;ACTR3B;ABO;CNN3;SOCS2;LOC100128288;EBP;MYH10;ZNF662;PRELID2;FZD3;SLC37A1;LRBA;SHFM1;KLHDC1;DCLK2;SMARCA1;CP;BTBD8;PBX1;FANCF;PTPRD;TMEM232;EHD2;HOOK1;TNFSF4;PKIA;MYO5C;ID1;NFE2L3;MAGED2;FAT4;BMPR1B;HLA-DRB1;BEX5;WDR49;CNRIP1;ICA1;PSIP1;FAM102B;SCRN1;CASP10;PRKG2;PGM5;CTSF;ZNF385D;HIBCH;SULT1C4;ZIK1;EDARADD;ARG2;RBM14;CDADC1;PRORSD1P;CAMK1D;HMGCS1;DST;SGIP1;NOG;PAWR;REXO2;BIVM-ERCC5;MLF1;ZDHHC15;CLDN15;PALLD;MPPED2;ALDH1A1;VN1R1;CRY1;RAPGEF2;LUC7L3;VWA2;TMEM9;BCAT1;VAMP5;ST6GALNAC5;PDZRN4;SLC29A2;FAM84B;GRAMD1C;HIST1H2BJ;ATL1;KIAA1324L;RNF8;ATP2C1;FAM117A;LRP6;SLC25A27;REPIN1;ACTR3BP2;MYCT1;TMEM168;ABLIM1;PNMA1;SV2A;SH3TC1;ABI3BP;SPOCK3;NRIP1;TRA2A;GCNT2;SH3BP4;BEND4;GPC5;CYYR1;E2F5;LOC644172;ATP9A;EIF4B;S100PBP;GBP4;IL12RB2;ZNF462;GABBR1;ARMCX5-GPRASP2;AKR1C1;MBOAT1;NAP1L3;CABLES1;NAP1L2;PDE4DIP;KLHL3;TMEM64;KLK10;REC8;BAIAP3;TTC39B;MIR24-2;TSPAN13;KRT18;MORN4;NFIA;KLHL5;KLHL6;ASB9;MSRB3;FAM171B;MDGA2;PFKM;TPT1
IRF2 (human)	36/1412	0.9937064454535648	0.9999942770590278	0	0	0.6715616762870775	0.004239865993850779	ZNF594;BEX2;BEX1;KIAA1324L;GIMAP2;PKD2;ATP2C1;ING5;ZNRF1;MECOM;CASP10;GNA12;FAM19A2;HIST1H2AE;TMEM38B;SAMD13;PAAF1;CD52;ZNF285;PACRG;RPL23;TPM1;BOLA1;OR2L2;BIVM-ERCC5;KLK10;PTPRD;CRYGD;PALLD;SCD;CD109;RBM12B;REN;PHLDB2;L3MBTL4;ABCG1
FOXD1 (human)	2/192	0.9937681428190376	0.9999942770590278	0	0	0.27470660234718125	0.0017172888369918872	NBEA;SDHC
FOXA1 (mouse)	45/1705	0.9941616550524377	0.9999942770590278	0	0	0.6937473732137853	0.004062206324771248	GPSM2;BEX2;RBM8A;LTBP4;RNF8;HSD17B14;LTBP3;FAM169A;PRKCZ;CDH9;DUSP16;TMEM220;ZFP30;CHST12;CFL2;PPAT;TRA2A;PLS3;BBS9;E2F5;EIF4B;PRELID2;WDR17;SLC10A5;CMTM8;PCYT1B;MME;LIMCH1;RPL23;NICN1;NR1H3;PDE4DIP;REXO4;BSPRY;EFNA1;CACNB2;KRT18;DDAH2;ETNK1;RAB13;ST7;MYO5C;RBM12B;TPT1;PDZRN4
LTF (human)	34/1363	0.9950075555855583	0.9999942770590278	0	0	0.6565242617907341	0.0032858699873347394	BEX4;ZNF132;SLC45A3;HLF;SEMA3C;RBM8A;IFT172;C2ORF88;NLRC3;TMEM91;JAKMIP2;ING5;SCRN1;ZNF286B;METTL6;CYTL1;CTSF;JAK3;S1PR4;ZNF165;PCYT1B;ST6GAL2;EFNA1;EHD2;SH3YL1;EVC;NFIA;TRAF5;MZB1;NCOA7;ALDOC;GNB5;BCAT1;PIGH
Nobox (mouse)	2/201	0.9953759172608132	0.9999942770590278	0	0	0.26215894795454703	0.0012150560961828652	ATP6V0A2;RNF150
ETV4 (human)	35/1403	0.9955287035330179	0.9999942770590278	0	0	0.6560777241575764	0.002940095939687704	ROBO4;SLC45A3;HIBADH;KIAA1324L;RNF8;PSIP1;KIAA1211;LTBP3;ABO;ADCY6;PTGS1;CDH7;SOCS2;GPR173;ACTR3C;SH3TC1;IDS;CYTL1;SLC18A2;ZNF662;ABCA2;SLC37A1;TPM2;KLHDC1;SAMD4A;ELP2;SGCZ;SMO;CLDN15;KLHL6;PKIA;TRIP6;MZB1;MDGA2;L3MBTL4
ZFHX3 (human)	38/1504	0.9957589707079598	0.9999942770590278	0	0	0.6639100179610745	0.0028216494206262516	GRAMD1C;BHLHB9;C2ORF88;FHL2;PSIP1;TM2D3;ENO2;ACCS;RPGR;ARHGAP22;ABLIM1;CHST12;RSBN1L;BBS9;JAK3;SLC37A3;PTRF;NHEJ1;PRELID2;LIMCH1;LRBA;AMT;RHOH;NAP1L2;LHFPL2;TC2N;CASD1;BTBD8;WDR54;PTPRD;EHD2;CACNB2;HIST3H2A;IFT81;KLHL6;CD109;SSPN;ITGA9
NFATC3 (mouse)	47/1801	0.996233748303383	0.9999942770590278	0	0	0.6840765464028908	0.0025812683636417632	GRAMD1C;GPSM2;INSIG2;PSIP1;HMGCR;CDH9;ABO;RYR3;GPR173;NUDT10;ABLIM1;ERMP1;MECOM;TMEM65;SLC22A17;CFL2;AKT3;DPYSL3;MMP28;SCN9A;GCNT2;GPC5;RNF150;PRKG1;SCAI;IL12RB2;ANKRD6;WDR17;MREG;TSC22D1;SHFM1;PDE4DIP;CASD1;CDC42BPA;ARMCX1;LRCH2;ARMCX2;POLG2;CD109;MPPED2;ALDH1A1;HIST1H4H;LUC7L3;RAB38;ERG;GNB5;ABCG1
MYOG (mouse)	43/1675	0.9963214107650875	0.9999942770590278	0	0	0.6734024225632282	0.002481738354138713	PCDHGB4;ELN;NPR3;LTBP4;HSD17B14;DPY30;PLOD2;PBXIP1;ARHGAP22;LAPTM4B;ADAM28;DEPTOR;DRAM1;MECOM;CHST12;PPCS;SLC22A17;MMP28;RASSF6;SCN9A;GCNT2;CYTL1;PROM1;NHEJ1;GSTM3;CD52;MREG;DST;MME;FANCL;HDGFRP3;KLK10;REC8;PARD3B;MEIS1;NFE2L3;EBPL;GNB5;SERGEF;BMPR1B;L3MBTL4;OPTN;RAPGEF3
PPARG (human)	105/3580	0.9963715547683047	0.9999942770590278	0	0	0.7598222059295239	0.002761987155384965	SERPINE2;SPPL2B;ICAM4;ACCS;TMEM91;PARK2;CDH7;CRHBP;NUDT10;DPYSL3;TMEM38B;SAMD13;PAQR8;ST6GAL2;DAPK1;PHKA1;CMBL;CASD1;CACNB2;ARMCX2;SYPL1;POLG2;ARMC4;SNRPE;PLA2R1;AURKAIP1;EXD2;ABCB1;BEX1;SLC45A3;BHLHB9;CFH;INSIG1;NPR3;DTX3;ACTR3B;EBP;PDZD2;TCTEX1D1;ZNF302;MPDZ;LRBA;WDR54;PTPRD;EHD2;TNFSF4;ZNF418;GIPC2;ID1;SSPN;HLA-DRB1;FHL2;ICA1;DUSP18;FAM127C;CHRDL1;RPGR;BCL7A;MED10;ME3;ZNF248;CTSF;RBM14;CAMLG;MME;AMT;CES4A;SERPINB6;PLCB4;SETBP1;PALLD;DDAH2;MZB1;LUC7L3;NCOA7;BCAT1;RAPGEF3;SLC29A2;PIGH;ITGA9;GRAMD1C;RNF8;HSD17B14;NLRC3;ADCY6;AGPAT4;ZNF286B;APOL3;S100PBP;GABBR1;CYP51A1;ZNF181;MBOAT1;NAP1L3;NR1H3;PDE4DIP;KLK10;SLC4A8;NFIA;SCD;ETNK1;GATS;SLC25A30;ZNF334;TPT1
TEAD4 (human)	33/1354	0.9965189574684047	0.9999942770590278	0	0	0.6404433870444468	0.0022333000347149025	TARSL2;PLAG1;FAM69B;GATA3;MSI2;LTBP3;IGF1R;ARHGAP22;GPR173;ATXN1;APH1B;ZNF706;GNA12;SH3BP4;HES1;TSPYL2;PACRG;ST6GAL2;PRMT2;TPM2;NOG;CTDSPL;ZNF10;DYNLL1;BAIAP3;NFIA;HOOK1;PKP2;EBPL;TAB2;PFKM;FBXL4;ZFP28
